term	code
bifid ossification of lumbar centrum	Q76.4
bipartite ossification of lumbar centrum	Q76.4
bipartite ossification of centrum of sacral vertebra	Q76.4
bipartite ossification of sacral centrum	Q76.4
bipartite ossification of centrum of thoracic vertebra	Q76.4
bifid ossification of thoracic centrum	Q76.4
bipartite ossification of thoracic centrum	Q76.4
cervical hemivertebra	Q76.4
congenital abnormal fusion of arch of cervical vertebra	Q76.4
congenital fused cervical arch	Q76.4
congenital abnormal fusion of arch of lumbar vertebra	Q76.4
congenital fused lumbar arch	Q76.4
congenital abnormal fusion of arch of sacral vertebra	Q76.4
congenital fused sacral arch	Q76.4
congenital abnormal fusion of arch of thoracic vertebra	Q76.4
congenital fused thoracic arch	Q76.4
congenital fused cervical centrum cartilage	Q76.4
congenital abnormal fusion of centrum cartilage of lumbar vertebra	Q76.4
congenital abnormal fusion of centrum cartilage of sacral vertebra	Q76.4
congenital fused sacral centrum cartilage	Q76.4
congenital abnormal fusion of centrum cartilage of thoracic vertebra	Q76.4
congenital fused thoracic centrum cartilage	Q76.4
congenital abnormal fusion of centrum of cervical vertebra	Q76.4
congenital fused cervical centrum	Q76.4
congenital abnormal fusion of centrum of lumbar vertebra	Q76.4
congenital fused lumbar centrum	Q76.4
congenital abnormal fusion of centrum of sacral vertebra	Q76.4
congenital fused sacral centrum	Q76.4
congenital fused thoracic centrum	Q76.4
congenital abnormal shape of arch of cervical vertebra	Q76.4
congenital misshapen cervical arch	Q76.4
congenital abnormal shape of arch of lumbar vertebra	Q76.4
congenital misshapen lumbar arch	Q76.4
congenital abnormal shape of arch of sacral vertebra	Q76.4
congenital abnormal shape of arch of thoracic vertebra	Q76.4
congenital misshapen thoracic arch	Q76.4
congenital abnormal shape of centrum of cervical vertebra	Q76.4
congenital misshapen cervical centrum	Q76.4
congenital abnormal shape of centrum of lumbar vertebra	Q76.4
congenital misshapen lumbar centrum	Q76.4
congenital abnormal shape of centrum of sacral vertebra	Q76.4
congenital misshapen sacral centrum	Q76.4
congenital abnormal shape of centrum of thoracic vertebra	Q76.4
congenital misshapen thoracic centrum	Q76.4
congenital anomaly of caudal vertebra	Q76.4
congenital anomaly of lumbar vertebra	Q76.4
congenital anomaly of sacral vertebra	Q76.4
congenital anomaly of thoracic vertebra	Q76.4
congenital malformation of thoracic vertebra	Q76.4
lumbar hemivertebra	Q76.4
congenital hypoplasia of arch of cervical vertebra	Q76.4
congenital small cervical arch	Q76.4
congenital hypoplasia of arch of lumbar vertebra	Q76.4
congenital hypoplasia of arch of sacral vertebra	Q76.4
congenital small sacral arch	Q76.4
congenital hypoplasia of arch of thoracic vertebra	Q76.4
congenital small thoracic arch	Q76.4
congenital malpositioned cervical arch	Q76.4
congenital malposition of arch of lumbar vertebra	Q76.4
congenital malpositioned lumbar arch	Q76.4
congenital malposition of arch of sacral vertebra	Q76.4
congenital malpositioned sacral arch	Q76.4
congenital malposition of arch of thoracic vertebra	Q76.4
congenital malpositioned thoracic arch	Q76.4
congenital malposition of cervical vertebra	Q76.4
congenital malpositioned lumbar vertebra	Q76.4
congenital malposition of sacral vertebra	Q76.4
congenital malpositioned sacral vertebra	Q76.4
congenital malposition of thoracic vertebra	Q76.4
congenital malpositioned thoracic vertebra	Q76.4
congenital misalignment of arch of cervical vertebra	Q76.4
congenital misaligned cervical arch	Q76.4
congenital misaligned cervical centrum	Q76.4
congenital misalignment of arch of lumbar vertebra	Q76.4
congenital misaligned lumbar arch	Q76.4
congenital misalignment of centrum of lumbar vertebra	Q76.4
congenital misaligned lumbar centrum	Q76.4
congenital misalignment of arch of sacral vertebra	Q76.4
congenital misaligned sacral arch	Q76.4
congenital misalignment of centrum of sacral vertebra	Q76.4
congenital misaligned sacral centrum	Q76.4
congenital misaligned thoracic arch	Q76.4
congenital misalignment of centrum of thoracic vertebra	Q76.4
dumbbell ossification of centrum of cervical vertebra	Q76.4
dumbbell ossification of cervical centrum	Q76.4
dumbbell ossification of centrum of lumbar vertebra	Q76.4
dumbbell ossification of lumbar centrum	Q76.4
dumbbell ossification of centrum of sacral vertebra	Q76.4
dumbbell ossification of centrum of thoracic vertebra	Q76.4
dumbbell ossification of thoracic centrum	Q76.4
dumbbell-shaped cartilaginous centrum of cervical vertebra	Q76.4
dumbbell-shaped cartilage of cervical centrum	Q76.4
dumbbell-shaped cartilage of lumbar centrum	Q76.4
dumbbell-shaped cartilage of sacral centrum	Q76.4
dumbbell-shaped cartilaginous centrum of thoracic vertebra	Q76.4
dumbbell-shaped cartilage of thoracic centrum	Q76.4
incomplete ossification of arch of cervical vertebra	Q76.4
incomplete ossification of cervical arch	Q76.4
reduced ossification of cervical arch	Q76.4
incomplete ossification of arch of lumbar vertebra	Q76.4
incomplete ossification of lumbar arch	Q76.4
reduced ossification of lumbar arch	Q76.4
incomplete ossification of arch of sacral vertebra	Q76.4
incomplete ossification of sacral arch	Q76.4
reduced ossification of sacral arch	Q76.4
incomplete ossification of arch of thoracic vertebra	Q76.4
incomplete ossification of thoracic arch	Q76.4
reduced ossification of thoracic arch	Q76.4
incomplete ossification of centrum of cervical vertebra	Q76.4
reduced ossification of centrum of cervical vertebra	Q76.4
reduced ossification of lumbar centrum	Q76.4
incomplete ossification of centrum of sacral vertebra	Q76.4
incomplete ossification of sacral centrum	Q76.4
reduced ossification of sacral centrum	Q76.4
incomplete ossification of centrum of thoracic vertebra	Q76.4
incomplete ossification of thoracic centrum	Q76.4
reduced ossification of thoracic centrum	Q76.4
lack of ossification of arch of cervical vertebra	Q76.4
unossified cervical arch	Q76.4
lack of ossification of arch of lumbar vertebra	Q76.4
unossified lumbar arch	Q76.4
lack of ossification of arch of sacral vertebra	Q76.4
unossified sacral arch	Q76.4
lack of ossification of arch of thoracic vertebra	Q76.4
unossified thoracic arch	Q76.4
lack of ossification of centrum of cervical vertebra	Q76.4
lack of ossification of centrum of lumbar vertebra	Q76.4
unossified lumbar centrum	Q76.4
lack of ossification of centrum of sacral vertebra	Q76.4
unossified sacral centrum	Q76.4
lack of ossification of centrum of thoracic vertebra	Q76.4
unossified thoracic centrum	Q76.4
sacral hemivertebra	Q76.4
supernumerary arch of cervical vertebra	Q76.4
supernumerary cervical arch	Q76.4
supernumerary lumbar arch	Q76.4
supernumerary arch of sacral vertebra	Q76.4
supernumerary sacral arch	Q76.4
supernumerary arch of thoracic vertebra	Q76.4
supernumerary thoracic arch	Q76.4
supernumerary centrum of cervical vertebra	Q76.4
supernumerary cervical centrum	Q76.4
supernumerary centrum of lumbar vertebra	Q76.4
supernumerary lumbar centrum	Q76.4
supernumerary centrum of sacral vertebra	Q76.4
supernumerary sacral centrum	Q76.4
supernumerary centrum of thoracic vertebra	Q76.4
supernumerary thoracic centrum	Q76.4
supernumerary cervical vertebra	Q76.4
supernumerary lumbar vertebra	Q76.4
supernumerary sacral vertebra	Q76.4
supernumerary thoracic vertebra	Q76.4
thoracic hemivertebra	Q76.4
Rothmund Thomson syndrome type 2	Q82.8
Howel-Evans' syndrome	Q82.8
Howel Evans syndrome	Q82.8
Howel-Evans-Clark syndrome	Q82.8
diffuse palmoplantar keratoderma with esophageal cancer	Q82.8
diffuse palmoplantar keratoderma with oesophageal cancer	Q82.8
keratoderma with carcinoma of esophagus	Q82.8
cutis laxa, autosomal dominant	Q82.8
systematized linear porokeratosis	Q82.8
systematised linear porokeratosis	Q82.8
congenital extramedullary dermal hematopoiesis	Q82.8
congenital extramedullary dermal haematopoiesis	Q82.8
aquagenic palmoplantar keratoderma	Q82.8
aquagenic wrinkling of palms	Q82.8
transient reactive papulotranslucent acrokeratoderma	Q82.8
erythrokeratodermia cardiomyopathy syndrome	Q82.8
EKC (erythrokeratodermia cardiomyopathy) syndrome	Q82.8
EKC	Q82.8
CID-MIA/early-onset IBD - combined immunodeficiency-multiple intestinal atresia/early-onset inflammatory bowel disease	Q82.8
pseudoxanthoma elasticum-like skin manifestations with retinitis pigmentosa	Q82.8
PXE-like (pseudoxanthoma elasticum-like) syndrome with retinitis pigmentosa	Q82.8
keratin 1-related diffuse nonepidermolytic palmoplantar keratoderma	Q82.8
KRT1-related diffuse NEPPK (nonepidermolytic palmoplantar keratoderma)	Q82.8
KRT1-related diffuse nonepidermolytic keratoderma	Q82.8
peeling skin, leukonychia, acral punctate keratoses, cheilitis, knuckle pads syndrome	Q82.8
PLACK (peeling skin, leukonychia, acral punctate keratoses, cheilitis, knuckle pads) syndrome	Q82.8
PLACK syndrome	Q82.8
peeling skin, leuconychia, acral punctate keratoses, cheilitis, knuckle pads syndrome	Q82.8
PLACK	Q82.8
pseudoxanthoma elasticum due to hemoglobinopathy	Q82.8
pseudoxanthoma elasticum due to haemoglobinopathy	Q82.8
isolated focal non-epidermolytic palmoplantar keratoderma	Q82.8
ectodermal dysplasia, hyperhidrosis, cutaneous syndactyly syndrome	Q82.8
dermatoglyphs - skin lines	Q82.8
dermatoglyphs	Q82.8
skin lines	Q82.8
symmetrical keratoderma	Q82.8
abnormal palmar creases	Q82.8
angiomatosis	Q82.8
congenital pigmentary skin anomalies	Q82.8
congenital pigmentary anomaly of skin	Q82.8
Brugsch's syndrome	Q82.8
Brugsch syndrome	Q82.8
FDH - Focal dermal hypoplasia	Q82.8
FODH - Focal dermal hypoplasia	Q82.8
Goltz syndrome	Q82.8
Goltz-Gorlin syndrome	Q82.8
FDH	Q82.8
FODH	Q82.8
hereditary benign acanthosis nigricans	Q82.8
hereditary benign acanthosis nigricans with insulin resistance	Q82.8
insulin receptor defect with insulin-resistant diabetes mellitus and acanthosis nigricans	Q82.8
insulin-resistant acanthosis nigricans type A	Q82.8
follicular keratosis	Q82.8
linear porokeratosis	Q82.8
zosteriform porokeratosis	Q82.8
giant porokeratosis	Q82.8
disseminated superficial porokeratosis	Q82.8
benign acanthosis nigricans	Q82.8
pseudoacanthosis nigricans	Q82.8
Kindler's syndrome	Q82.8
Kindler syndrome	Q82.8
extensive congenital erosions, vesicles and reticulate scarring	Q82.8
metageria	Q82.8
acrogeria	Q82.8
Gottron's syndrome	Q82.8
wrinkly skin syndrome	Q82.8
WSS - Wrinkly skin syndrome	Q82.8
WSS	Q82.8
genodermatosis	Q82.8
Basan syndrome	Q82.8
ectodermal dysplasia, syndactyly and pili torti	Q82.8
ectodermal dysplasia with sweating defect	Q82.8
multiple benign annular creases of extremities	Q82.8
erythrokeratoderma en cocardes	Q82.8
erythrokeratoderma en cocarde (Degos)	Q82.8
erythrokeratoderma en cocardes (Degos syndrome)	Q82.8
maladie de Degos	Q82.8
erythrokeratoderma progressiva of Gottron	Q82.8
symmetrical progressive erythrokeratoderma	Q82.8
keratolytic winter erythema	Q82.8
erythrokeratolysis hiemalis	Q82.8
winter erythrokeratolysis	Q82.8
keratolysis exfoliativa	Q82.8
familial continual skin peeling	Q82.8
idiopathic deciduous skin	Q82.8
hereditary palmoplantar keratoderma	Q82.8
palmoplantar keratoderma transgrediens	Q82.8
acroerythrokeratoderma	Q82.8
mal de Meleda	Q82.8
progressive palmoplantar keratoderma of Greither	Q82.8
progressive palmoplantar keratoderma	Q82.8
epidermolytic palmoplantar keratoderma of Vorner	Q82.8
epidermolytic palmoplantar hyperkeratosis	Q82.8
congenital palmoplantar and perioral keratoderma of Olmsted	Q82.8
Olmsted syndrome	Q82.8
mutilating palmoplantar hyperkeratosis with periorificial keratotic plaques	Q82.8
circumscribed palmoplantar keratoderma	Q82.8
localized palmoplantar keratoderma	Q82.8
palmoplantar keratoderma with leukoplakia	Q82.8
palmoplantar keratoderma with leucoplakia	Q82.8
palmoplantar hyperkeratosis sclerodactyly syndrome	Q82.8
Huriez syndrome	Q82.8
keratoderma with scleroatrophy of extremities	Q82.8
palmoplantar keratoderma sclerodactyly syndrome	Q82.8
papuloverrucous palmoplantar keratoderma of Jakac-Wolf	Q82.8
polykeratosis of Touraine	Q82.8
inherited cutaneous hyperpigmentation	Q82.8
Cantu's syndrome	Q82.8
Cantu syndrome	Q82.8
nevus elasticus	Q82.8
elastic nevus	Q82.8
naevus elasticus	Q82.8
Michelin-tyre baby	Q82.8
lipomatous hypertrophy	Q82.8
congenital absence of skin on scalp	Q82.8
nonsyndromic aplasia cutis congenita	Q82.8
type 1 aplasia cutis	Q82.8
congenital absence of skin on scalp with epidermal nevi	Q82.8
Type 3 aplasia cutis	Q82.8
congenital absence of skin on scalp with epidermal naevi	Q82.8
mutilating keratoderma	Q82.8
Vohwinkel's mutilating keratoderma	Q82.8
keratoderma hereditarium mutilans	Q82.8
mutilating keratoderma of Vohwinkel	Q82.8
single transverse palmar crease	Q82.8
simian crease	Q82.8
PXE - Pseudoxanthoma elasticum	Q82.8
PXE	Q82.8
geroderma osteodysplastica	Q82.8
GO - Geroderma osteodysplastica	Q82.8
osteodysplastic geroderma	Q82.8
GO	Q82.8
inherited disorder of keratinization	Q82.8
inherited disorder of keratinisation	Q82.8
erythrokeratoderma	Q82.8
hereditary erythrokeratolysis	Q82.8
hereditary follicular keratoses	Q82.8
inherited cutis laxa	Q82.8
neonatal cutis laxa with marfanoid phenotype	Q82.8
cutis laxa, recessive, type I	Q82.8
cutis laxa, recessive, type II	Q82.8
multiple progressive hemangiomata	Q82.8
diffuse neonatal haemangiomatosis	Q82.8
eruptive neonatal haemangiomatosis	Q82.8
eruptive neonatal hemangiomatosis	Q82.8
multiple progressive angiomata	Q82.8
multiple progressive haemangiomata	Q82.8
ulcero - mutilating hemangiomatosis	Q82.8
ulcero - mutilating haemangiomatosis	Q82.8
diffuse palmoplantar keratoderma of Thost-Unna	Q82.8
thost-Unna diffuse palmoplantar keratoderma	Q82.8
thost-Unna keratoderma	Q82.8
tylosis	Q82.8
hereditary benign intraepithelial dyskeratosis	Q82.8
witkop-Von Sallmann disease	Q82.8
witkop-von Sallman syndrome	Q82.8
acrokeratosis verruciformis of Darier disease	Q82.8
cutaneous vascular malformation	Q82.8
congenital vascular malformation of skin	Q82.8
keratosis rubra pilaris	Q82.8
keratosis pilaris atrophicans	Q82.8
porokeratosis	Q82.8
acrokeratosis verruciformis of Hopf	Q82.8
AKV - Acrokeratosis verruciformis	Q82.8
AKV	Q82.8
hereditary diffuse palmoplantar keratoderma	Q82.8
diffuse palmoplantar keratoderma	Q82.8
infantile restrictive dermopathy	Q82.8
papillon-Lefèvre syndrome	Q82.8
juvenile periodontosis with hyperkeratosis	Q82.8
papillon-Lefevre syndrome	Q82.8
xeroderma in genetic syndrome	Q82.8
disorder due to abnormality of dermal elastin	Q82.8
inherited pseudoxanthoma elasticum	Q82.8
cutis laxa following urticaria-angioedema	Q82.8
cutis laxa following urticaria-angio-oedema	Q82.8
cutis laxa following hypersensitivity reaction	Q82.8
cutis laxa with complement deficiency	Q82.8
hereditary sclerosing poikiloderma of Weary	Q82.8
flexural Darier's disease	Q82.8
flexural Darier disease	Q82.8
hypertrophic Darier's disease	Q82.8
hypertrophic Darier disease	Q82.8
linear/nevoid/zosteriform Darier's disease	Q82.8
linear/nevoid/zosteriform Darier disease	Q82.8
acral Darier's disease	Q82.8
palmar pitting due to Darier disease	Q82.8
palmar pitting due to Darier's disease	Q82.8
nail dystrophy due to Darier's disease	Q82.8
nail dystrophy due to Darier disease	Q82.8
nail dystrophy due to benign familial pemphigus	Q82.8
nail dystrophy due to Hailey-Hailey disease	Q82.8
palmoplantar hyperkeratosis-hyperpigmentation syndrome of Cantu	Q82.8
autosomal dominant pseudoxanthoma elasticum	Q82.8
autosomal recessive pseudoxanthoma elasticum	Q82.8
localized congenital cutis laxa	Q82.8
localised congenital cutis laxa	Q82.8
Torré-Muir syndrome	Q82.8
Muir-Torré syndrome	Q82.8
Torre-Muir syndrome	Q82.8
disseminated superficial actinic porokeratosis	Q82.8
DSAP - Disseminated superficial actinic porokeratosis	Q82.8
actinic porokeratosis	Q82.8
Bloom syndrome	Q82.8
BS - Bloom syndrome	Q82.8
congenital telangiectatic erythema syndrome	Q82.8
BS	Q82.8
angiomatosis of meninges	Q82.8
Darier disease	Q82.8
Darier's disease	Q82.8
dyskeratosis follicularis	Q82.8
keratosis follicularis	Q82.8
psorospermosis	Q82.8
psorospermosis follicularis vegetans	Q82.8
keratosis pilaris	Q82.8
KP - Keratosis pilaris	Q82.8
KP	Q82.8
cutis verticis gyrata	Q82.8
cutis laxa	Q82.8
Dermatomegaly	Q82.8
chalazodermia	Q82.8
generalised elastorrhexis	Q82.8
generalized elastolysis	Q82.8
generalized elastorrhexis	Q82.8
primary elastolysis	Q82.8
systematised elastorrhexis	Q82.8
systematized elastorrhexis	Q82.8
systemic elastorrhexis	Q82.8
cutis laxa, x-linked	Q82.8
Ehlers-Danlos syndrome type 9 X-linked	Q82.8
Ehlers-Danlos syndrome, mental retardation type	Q82.8
Ehlers-Danlos syndrome, occipital horn type	Q82.8
Ehlers-Danlos syndrome, type 9	Q82.8
congenital oculocutaneous hypopigmentation	Q82.8
angiokeratoma of Mibelli	Q82.8
congenital keratoderma	Q82.8
Rothmund-Thomson syndrome	Q82.8
poikiloderma congenitale	Q82.8
poikiloderma congenitale syndrome	Q82.8
schöpf-Schulz-Passarge syndrome	Q82.8
erythrokeratodermia variabilis	Q82.8
congenital poikiloderma	Q82.8
mendes da Costa syndrome	Q82.8
palmoplantar keratoderma	Q82.8
keratoderma	Q82.8
autosomal recessive dyskeratosis congenita	Q82.8
autosomal dominant dyskeratosis congenita	Q82.8
X-linked dyskeratosis congenita	Q82.8
periodontitis due to Papillon-Lefèvre syndrome	Q82.8
periodontitis due to Papillon-Lefevre syndrome	Q82.8
guttate hypopigmentation and punctate palmoplantar keratoderma with or without ectopic calcification	Q82.8
Cole disease	Q82.8
autosomal dominant diffuse palmoplantar keratoderma Norrbotten type	Q82.8
non-epidermolytic palmoplantar keratoderma	Q82.8
keratoderma hereditarium mutilans with ichthyosis syndrome	Q82.8
Camisa disease	Q82.8
Vohwinkel ichthyosis syndrome	Q82.8
keratoderma ichthyosiform dermatosis elevated beta-glucuronidase syndrome	Q82.8
punctate palmoplantar keratoderma type 1	Q82.8
Buschke Fischer Brauer syndrome	Q82.8
keratodermia palmoplantaris papulosa Buschke Fischer Brauer type	Q82.8
hereditary palmoplantar keratoderma Gamborg Nielsen type	Q82.8
porokeratosis plantaris palmaris et disseminata	Q82.8
autosomal recessive palmoplantar keratoderma and congenital alopecia syndrome	Q82.8
autosomal recessive palmoplantar keratoderma and congenital alopecia Wallis type	Q82.8
autosomal dominant palmoplantar keratoderma and congenital alopecia	Q82.8
palmoplantar keratoderma and congenital alopecia Stevanovic type	Q82.8
absence of fingerprints with congenital milia syndrome	Q82.8
Baird syndrome	Q82.8
absence of dermatoglyphics with congenital milia syndrome	Q82.8
Haim Munk syndrome	Q82.8
ankylosing vertebral hyperostosis with tylosis syndrome	Q82.8
diffuse palmoplantar keratoderma and acrocyanosis syndrome	Q82.8
hidrotic ectodermal dysplasia Halal type	Q82.8
Halal Setton Wang syndrome	Q82.8
ectodermal dysplasia with skin anomaly and intellectual disability	Q82.8
palmoplantar keratoderma with deafness syndrome	Q82.8
palmoplantar keratoderma Nagashima type	Q82.8
spastic paraplegia, intellectual disability, palmoplantar hyperkeratosis syndrome	Q82.8
Fitzsimmons McLachlan Gilbert syndrome	Q82.8
cerebral dysgenesis, neuropathy, ichthyosis, palmoplantar keratoderma syndrome	Q82.8
CEDNIK syndrome	Q82.8
CEDNIK	Q82.8
CEDNIK	Q82.8
congenital lethal erythroderma	Q82.8
macrocephaly, alopecia, cutis laxa, scoliosis syndrome	Q82.8
MACS (macrocephaly, alopecia, cutis laxa, scoliosis) syndrome	Q82.8
MACS syndrome	Q82.8
RIN2 deficiency	Q82.8
tall forehead, sparse hair, skin hyperextensibility, scoliosis syndrome	Q82.8
Revesz syndrome	Q82.8
Revesz DeBuse syndrome	Q82.8
dyskeratosis congenita with bilateral exudative retinopathy	Q82.8
retinopathy, anaemia, central nervous system anomalies syndrome	Q82.8
retinopathy, anemia, central nervous system anomalies syndrome	Q82.8
palmoplantar keratoderma with clinodactyly syndrome	Q82.8
keratosis palmaris et plantaris with clinodactyly syndrome	Q82.8
congenital venous malformation of skin	Q82.8
cerebellar ataxia, intellectual disability, optic atrophy, skin abnormalities syndrome	Q82.8
CAMOS (cerebellar ataxia, mental retardation, optic atrophy, skin abnormalities) syndrome	Q82.8
CAMOS syndrome	Q82.8
SCAR5 - spinocerebellar ataxia autosomal recessive 5	Q82.8
CAMOS	Q82.8
CAMOS	Q82.8
CAMOS	Q82.8
SCAR5	Q82.8
SCAR5	Q82.8
SCAR5	Q82.8
SCAR5	Q82.8
Gronblad-Strandberg syndrome	Q82.8
hereditary congenital hypomelanotic and hypermelanotic cutaneous macules, growth retardation, intellectual disability syndrome	Q82.8
Westerhof Beemer Cormane syndrome	Q82.8
hypo-and hypermelanotic cutaneous macules, retarded growth, intellectual disability syndrome	Q82.8
skeletal abnormality, cutis laxa, craniostenosis, ambiguous genitalia, retardation, facial abnormality syndrome	Q82.8
SCARF (skeletal abnormality, cutis laxa, craniostenosis, ambiguous genitalia, retardation, facial abnormality) syndrome	Q82.8
SCARF syndrome	Q82.8
SCARF	Q82.8
SCARF	Q82.8
SCARF	Q82.8
SCARF	Q82.8
cutis laxa with osteodystrophy	Q82.8
cutis laxa with bone dystrophy	Q82.8
congenital scar	Q82.8
dyskeratosis congenita	Q82.8
DKC - Dyskeratosis congenita	Q82.8
Zinsser-Cole-Engman syndrome	Q82.8
Zinsser-Cole-Engmann syndrome	Q82.8
cole-Engmann-Zinsser syndrome	Q82.8
congenital dyskeratosis	Q82.8
ichthyosis prematurity syndrome	Q82.8
congenital ichthyosis type 4	Q82.8
hypotrichosis, osteolysis, periodontitis, palmoplantar keratoderma syndrome	Q82.8
HOPP syndrome	Q82.8
CHACS - curly hair, acral keratoderma, caries syndrome	Q82.8
CHACS	Q82.8
congenital absence of fingerprints	Q82.8
immigration delay disease	Q82.8
erythema palmare hereditarium	Q82.8
Lane disease	Q82.8
red palms disease	Q82.8
keratosis linearis, ichthyosis congenita, sclerosing keratoderma syndrome	Q82.8
KLICK syndrome	Q82.8
pseudoxanthoma elasticum-like papillary dermal elastolysis	Q82.8
PXE-like (pseudoxanthoma elasticum-like) papillary dermal elastolysis	Q82.8
wooly hair with palmoplantar keratoderma syndrome	Q82.8
keratoderma with woolly hair type IV	Q82.8
keratoderma with wooly hair type IV	Q82.8
woolly hair with palmoplantar keratoderma syndrome	Q82.8
striate palmoplantar keratoderma	Q82.8
keratosis palmoplantaris striata	Q82.8
keratosis palmoplantaris striata et areata	Q82.8
focal palmoplantar and gingival keratoderma	Q82.8
punctate palmoplantar keratoderma type 2	Q82.8
primary essential cutis verticis gyrata	Q82.8
Carney complex, trismus, pseudocamptodactyly syndrome	Q82.8
Carney complex variant	Q82.8
leucoencephalopathy, palmoplantar keratoderma syndrome	Q82.8
hidrotic ectodermal dysplasia Christianson Fourie type	Q82.8
Christianson Fourie syndrome	Q82.8
hereditary fibrosing poikiloderma, tendon contractures, myopathy, pulmonary fibrosis syndrome	Q82.8
POIKTMP (poikiloderma, tendon contractures, myopathy, pulmonary fibrosis) syndrome	Q82.8
POIKTMP syndrome	Q82.8
ectodermal dysplasia syndactyly syndrome	Q82.8
papular epidermal nevi with skyline basal cell layers syndrome	Q82.8
PENS (papular epidermal naevi with skyline basal cell layers) syndrome	Q82.8
PENS (papular epidermal nevi with skyline basal cell layers) syndrome	Q82.8
PENS syndrome	Q82.8
papular epidermal naevi with skyline basal cell layers syndrome	Q82.8
PENS	Q82.8
PENS	Q82.8
hypohidrosis, enamel hypoplasia, palmoplantar keratoderma, intellectual disability syndrome	Q82.8
Shaheen syndrome	Q82.8
corneal intraepithelial dyskeratosis, palmoplantar hyperkeratosis, laryngeal dyskeratosis syndrome	Q82.8
CEVD - congenital erosive and vesicular dermatosis	Q82.8
congenital erosive and vesicular dermatosis with reticulated supple scarring	Q82.8
CEVD	Q82.8
piebald trait with neurologic defects syndrome	Q82.8
Telfer Sugar Jaeger syndrome	Q82.8
severe dermatitis, multiple allergies, metabolic wasting syndrome	Q82.8
SAM syndrome	Q82.8
congenital erythroderma, hypotrichosis, recurrent infections, multiple food allergies syndrome	Q82.8
skin fragility, wooly hair, palmoplantar keratoderma syndrome	Q82.8
skin fragillity, woolly hair, palmoplantar keratoderma syndrome	Q82.8
primary non-essential cutis verticis gyrata	Q82.8
focal palmoplantar keratoderma with joint keratoses	Q82.8
diffuse palmoplantar keratoderma with painful fissures	Q82.8
autosomal recessive cutis laxa type 2B	Q82.8
ARCL2B - autosomal recessive cutis laxa type 2B	Q82.8
autosomal recessive cutis laxa type 2 progeroid type	Q82.8
ARCL2B	Q82.8
ARCL1C - autosomal recessive cutis laxa type 1C	Q82.8
Urban Rifkin Davis syndrome	Q82.8
autosomal recessive cutis laxa type 1C	Q82.8
ARCL1C	Q82.8
autosomal recessive cutis laxa type 2A	Q82.8
ARCL2A - autosomal recessive cutis laxa type 2A	Q82.8
ARCL2A	Q82.8
palmoplantar keratoderma, spastic paralysis syndrome	Q82.8
Powell Venencie Gordon syndrome	Q82.8
FFDD - focal facial dermal dysplasia	Q82.8
FFDD	Q82.8
focal facial dermal dysplasia type I	Q82.8
Brauer syndrome	Q82.8
FFDD type 1 - focal facial dermal dysplasia type 1	Q82.8
bitemporal aplasia cutis congenita	Q82.8
FFDD type 1	Q82.8
focal facial dermal dysplasia type II	Q82.8
FFDD type 2 - focal facial dermal dysplasia type 2	Q82.8
focal facial dermal dysplasia 2 Brauer Setleis type	Q82.8
FFDD type 2	Q82.8
focal facial dermal dysplasia type III	Q82.8
FFDD type 3 - focal facial dermal dysplasia type 3	Q82.8
Setleis syndrome	Q82.8
focal facial dermal dysplasia 3 Setleis type	Q82.8
FFDD type 3	Q82.8
focal facial dermal dysplasia type IV	Q82.8
FFDD type 4 - focal facial dermal dysplasia type 4	Q82.8
FFDD type 4	Q82.8
familial benign pemphigus	Q82.8
Hailey-Hailey disease	Q82.8
benign familial chronic pemphigus	Q82.8
familial benign chronic pemphigus	Q82.8
porokeratosis of Mibelli	Q82.8
Mibelli's disease	Q82.8
abnormal dermatoglyphic pattern	Q82.8
dermatoglyphic abnormality	Q82.8
dermatoglyphic anomalies	Q82.8
congenital accessory skin tag	Q82.8
accessory skin tags	Q82.8
keratosis pilaris decalvans	Q84.8
keratosis follicularis spinulosa decalvans	Q84.8
Schoepf-Schulz-Passage syndrome	Q84.8
aplasia of skin	Q84.8
congenital livedo reticularis	Q84.8
CMTC - Cutis marmorata telangiectatica congenita	Q84.8
cutis marmorata telangiectasia congenita	Q84.8
cutis marmorata telangiectatica congenita	Q84.8
van Lohuizen's syndrome	Q84.8
CMTC	Q84.8
aplasia cutis congenita	Q84.8
ACC - Aplasia cutis congenita	Q84.8
congenital absence of skin	Q84.8
cutis aplasia	Q84.8
epitheliogenesis imperfecta	Q84.8
ACC	Q84.8
aplasia cutis congenita due to underlying malformation (Type 4)	Q84.8
aplasia cutis congenita associated with fetus papyraceus (Type 5)	Q84.8
aplasia cutis congenita associated with foetus papyraceus (Type 5)	Q84.8
aplasia cutis congenita due to teratogenic drug (Type 7)	Q84.8
aplasia cutis congenita following intra-uterine infection (Type 8)	Q84.8
aplasia cutis congenita secondary to malformation syndrome (Type 9)	Q84.8
aplasia cutis in Chromosome 4 short-arm deletion syndrome (Wolf-Hirschhorn)	Q84.8
aplasia cutis in Johanson-Blizzard syndrome	Q84.8
aplasia cutis in Johanson-Blizzard syndrome	Q87.8
pachyonychia congenita type II of Jackson-Lawler	Q84.8
oculocerebral hypopigmentation syndrome of Preus type	Q84.8
oculocerebral hypopigmentation syndrome of Preus	Q84.8
Gershoni Baruch Leibo syndrome	Q84.8
aplasia cutis congenita with intestinal lymphangiectasia syndrome	Q84.8
